source_key_ids,charge_mean,sigma_mean,epsilon_mean,mass_mean,env_key,z,formal_charge,aromatic,hybridization,degree,total_hs,in_ring,ring_count,neighbor_sig,bond_kinds,hop1_shell,hop2_shell
26,1.66115000,4.00000000,0.10000000,28.08500000,"{""aromatic"":0,""bond_kinds"":[""S"",""S"",""S"",""S""],""degree"":4,""formal_charge"":0,""hop1_shell"":[{""ar"":0,""deg"":4,""fc"":0,""h"":3,""ring"":0,""z"":6},{""ar"":0,""deg"":4,""fc"":0,""h"":3,""ring"":0,""z"":6},{""ar"":0,""deg"":4,""fc"":0,""h"":3,""ring"":0,""z"":6},{""ar"":0,""deg"":2,""fc"":0,""h"":0,""ring"":0,""z"":8}],""hop2_shell"":[{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":4,""fc"":0,""h"":0,""ring"":0,""z"":14}],""hybridization"":""SP3"",""in_ring"":0,""neighbor_sig"":[""6:S:0"",""6:S:0"",""6:S:0"",""8:S:0""],""ring_count"":0,""total_hs"":0,""z"":14}",14,0,0,SP3,4,0,0,0,"[""6:S:0"",""6:S:0"",""6:S:0"",""8:S:0""]","[""S"",""S"",""S"",""S""]","[{""ar"":0,""deg"":4,""fc"":0,""h"":3,""ring"":0,""z"":6},{""ar"":0,""deg"":4,""fc"":0,""h"":3,""ring"":0,""z"":6},{""ar"":0,""deg"":4,""fc"":0,""h"":3,""ring"":0,""z"":6},{""ar"":0,""deg"":2,""fc"":0,""h"":0,""ring"":0,""z"":8}]","[{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":4,""fc"":0,""h"":0,""ring"":0,""z"":14}]"
27,1.93672000,4.00000000,0.10000000,28.08500000,"{""aromatic"":0,""bond_kinds"":[""S"",""S"",""S"",""S""],""degree"":4,""formal_charge"":0,""hop1_shell"":[{""ar"":0,""deg"":4,""fc"":0,""h"":3,""ring"":0,""z"":6},{""ar"":0,""deg"":4,""fc"":0,""h"":3,""ring"":0,""z"":6},{""ar"":0,""deg"":2,""fc"":0,""h"":0,""ring"":0,""z"":8},{""ar"":0,""deg"":2,""fc"":0,""h"":0,""ring"":0,""z"":8}],""hop2_shell"":[{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":4,""fc"":0,""h"":0,""ring"":0,""z"":14},{""ar"":0,""deg"":4,""fc"":0,""h"":0,""ring"":0,""z"":14}],""hybridization"":""SP3"",""in_ring"":0,""neighbor_sig"":[""6:S:0"",""6:S:0"",""8:S:0"",""8:S:0""],""ring_count"":0,""total_hs"":0,""z"":14}",14,0,0,SP3,4,0,0,0,"[""6:S:0"",""6:S:0"",""8:S:0"",""8:S:0""]","[""S"",""S"",""S"",""S""]","[{""ar"":0,""deg"":4,""fc"":0,""h"":3,""ring"":0,""z"":6},{""ar"":0,""deg"":4,""fc"":0,""h"":3,""ring"":0,""z"":6},{""ar"":0,""deg"":2,""fc"":0,""h"":0,""ring"":0,""z"":8},{""ar"":0,""deg"":2,""fc"":0,""h"":0,""ring"":0,""z"":8}]","[{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":4,""fc"":0,""h"":0,""ring"":0,""z"":14},{""ar"":0,""deg"":4,""fc"":0,""h"":0,""ring"":0,""z"":14}]"
28,1.89380000,4.00000000,0.10000000,28.08500000,"{""aromatic"":0,""bond_kinds"":[""S"",""S"",""S"",""S""],""degree"":4,""formal_charge"":0,""hop1_shell"":[{""ar"":0,""deg"":4,""fc"":0,""h"":3,""ring"":0,""z"":6},{""ar"":0,""deg"":4,""fc"":0,""h"":3,""ring"":0,""z"":6},{""ar"":0,""deg"":2,""fc"":0,""h"":0,""ring"":0,""z"":8},{""ar"":0,""deg"":2,""fc"":0,""h"":1,""ring"":0,""z"":8}],""hop2_shell"":[{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":4,""fc"":0,""h"":0,""ring"":0,""z"":14}],""hybridization"":""SP3"",""in_ring"":0,""neighbor_sig"":[""6:S:0"",""6:S:0"",""8:S:0"",""8:S:0""],""ring_count"":0,""total_hs"":0,""z"":14}",14,0,0,SP3,4,0,0,0,"[""6:S:0"",""6:S:0"",""8:S:0"",""8:S:0""]","[""S"",""S"",""S"",""S""]","[{""ar"":0,""deg"":4,""fc"":0,""h"":3,""ring"":0,""z"":6},{""ar"":0,""deg"":4,""fc"":0,""h"":3,""ring"":0,""z"":6},{""ar"":0,""deg"":2,""fc"":0,""h"":0,""ring"":0,""z"":8},{""ar"":0,""deg"":2,""fc"":0,""h"":1,""ring"":0,""z"":8}]","[{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":4,""fc"":0,""h"":0,""ring"":0,""z"":14}]"
29,2.11690000,4.00000000,0.10000000,28.08500000,"{""aromatic"":0,""bond_kinds"":[""S"",""S"",""S"",""S""],""degree"":4,""formal_charge"":0,""hop1_shell"":[{""ar"":0,""deg"":4,""fc"":0,""h"":2,""ring"":0,""z"":6},{""ar"":0,""deg"":2,""fc"":0,""h"":0,""ring"":1,""z"":8},{""ar"":0,""deg"":2,""fc"":0,""h"":0,""ring"":1,""z"":8},{""ar"":0,""deg"":2,""fc"":0,""h"":0,""ring"":1,""z"":8}],""hop2_shell"":[{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":4,""fc"":0,""h"":2,""ring"":0,""z"":6},{""ar"":0,""deg"":4,""fc"":0,""h"":0,""ring"":1,""z"":14},{""ar"":0,""deg"":4,""fc"":0,""h"":0,""ring"":1,""z"":14},{""ar"":0,""deg"":4,""fc"":0,""h"":0,""ring"":1,""z"":14}],""hybridization"":""SP3"",""in_ring"":1,""neighbor_sig"":[""6:S:0"",""8:S:0"",""8:S:0"",""8:S:0""],""ring_count"":3,""total_hs"":0,""z"":14}",14,0,0,SP3,4,0,1,3,"[""6:S:0"",""8:S:0"",""8:S:0"",""8:S:0""]","[""S"",""S"",""S"",""S""]","[{""ar"":0,""deg"":4,""fc"":0,""h"":2,""ring"":0,""z"":6},{""ar"":0,""deg"":2,""fc"":0,""h"":0,""ring"":1,""z"":8},{""ar"":0,""deg"":2,""fc"":0,""h"":0,""ring"":1,""z"":8},{""ar"":0,""deg"":2,""fc"":0,""h"":0,""ring"":1,""z"":8}]","[{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":4,""fc"":0,""h"":2,""ring"":0,""z"":6},{""ar"":0,""deg"":4,""fc"":0,""h"":0,""ring"":1,""z"":14},{""ar"":0,""deg"":4,""fc"":0,""h"":0,""ring"":1,""z"":14},{""ar"":0,""deg"":4,""fc"":0,""h"":0,""ring"":1,""z"":14}]"
30,2.11085000,4.00000000,0.10000000,28.08500000,"{""aromatic"":0,""bond_kinds"":[""S"",""S"",""S"",""S""],""degree"":4,""formal_charge"":0,""hop1_shell"":[{""ar"":0,""deg"":4,""fc"":0,""h"":3,""ring"":0,""z"":6},{""ar"":0,""deg"":2,""fc"":0,""h"":0,""ring"":1,""z"":8},{""ar"":0,""deg"":2,""fc"":0,""h"":0,""ring"":1,""z"":8},{""ar"":0,""deg"":2,""fc"":0,""h"":0,""ring"":1,""z"":8}],""hop2_shell"":[{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":4,""fc"":0,""h"":0,""ring"":1,""z"":14},{""ar"":0,""deg"":4,""fc"":0,""h"":0,""ring"":1,""z"":14},{""ar"":0,""deg"":4,""fc"":0,""h"":0,""ring"":1,""z"":14}],""hybridization"":""SP3"",""in_ring"":1,""neighbor_sig"":[""6:S:0"",""8:S:0"",""8:S:0"",""8:S:0""],""ring_count"":3,""total_hs"":0,""z"":14}",14,0,0,SP3,4,0,1,3,"[""6:S:0"",""8:S:0"",""8:S:0"",""8:S:0""]","[""S"",""S"",""S"",""S""]","[{""ar"":0,""deg"":4,""fc"":0,""h"":3,""ring"":0,""z"":6},{""ar"":0,""deg"":2,""fc"":0,""h"":0,""ring"":1,""z"":8},{""ar"":0,""deg"":2,""fc"":0,""h"":0,""ring"":1,""z"":8},{""ar"":0,""deg"":2,""fc"":0,""h"":0,""ring"":1,""z"":8}]","[{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":4,""fc"":0,""h"":0,""ring"":1,""z"":14},{""ar"":0,""deg"":4,""fc"":0,""h"":0,""ring"":1,""z"":14},{""ar"":0,""deg"":4,""fc"":0,""h"":0,""ring"":1,""z"":14}]"
31,0.45750000,3.55000000,0.07000000,12.01100000,"{""aromatic"":0,""bond_kinds"":[""D"",""S"",""S""],""degree"":3,""formal_charge"":0,""hop1_shell"":[{""ar"":0,""deg"":4,""fc"":0,""h"":0,""ring"":0,""z"":6},{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":8},{""ar"":0,""deg"":2,""fc"":0,""h"":0,""ring"":0,""z"":8}],""hop2_shell"":[{""ar"":0,""deg"":4,""fc"":0,""h"":2,""ring"":0,""z"":6},{""ar"":0,""deg"":4,""fc"":0,""h"":2,""ring"":0,""z"":6},{""ar"":0,""deg"":4,""fc"":0,""h"":3,""ring"":0,""z"":6},{""ar"":0,""deg"":4,""fc"":0,""h"":3,""ring"":0,""z"":6}],""hybridization"":""SP2"",""in_ring"":0,""neighbor_sig"":[""6:S:0"",""8:D:0"",""8:S:0""],""ring_count"":0,""total_hs"":0,""z"":6}",6,0,0,SP2,3,0,0,0,"[""6:S:0"",""8:D:0"",""8:S:0""]","[""D"",""S"",""S""]","[{""ar"":0,""deg"":4,""fc"":0,""h"":0,""ring"":0,""z"":6},{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":8},{""ar"":0,""deg"":2,""fc"":0,""h"":0,""ring"":0,""z"":8}]","[{""ar"":0,""deg"":4,""fc"":0,""h"":2,""ring"":0,""z"":6},{""ar"":0,""deg"":4,""fc"":0,""h"":2,""ring"":0,""z"":6},{""ar"":0,""deg"":4,""fc"":0,""h"":3,""ring"":0,""z"":6},{""ar"":0,""deg"":4,""fc"":0,""h"":3,""ring"":0,""z"":6}]"
32,0.45850000,3.55000000,0.07000000,12.01100000,"{""aromatic"":0,""bond_kinds"":[""D"",""S"",""S""],""degree"":3,""formal_charge"":0,""hop1_shell"":[{""ar"":0,""deg"":4,""fc"":0,""h"":2,""ring"":0,""z"":6},{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":8},{""ar"":0,""deg"":2,""fc"":0,""h"":0,""ring"":0,""z"":8}],""hop2_shell"":[{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":4,""fc"":0,""h"":2,""ring"":0,""z"":6},{""ar"":0,""deg"":4,""fc"":0,""h"":2,""ring"":0,""z"":6}],""hybridization"":""SP2"",""in_ring"":0,""neighbor_sig"":[""6:S:0"",""8:D:0"",""8:S:0""],""ring_count"":0,""total_hs"":0,""z"":6}",6,0,0,SP2,3,0,0,0,"[""6:S:0"",""8:D:0"",""8:S:0""]","[""D"",""S"",""S""]","[{""ar"":0,""deg"":4,""fc"":0,""h"":2,""ring"":0,""z"":6},{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":8},{""ar"":0,""deg"":2,""fc"":0,""h"":0,""ring"":0,""z"":8}]","[{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":4,""fc"":0,""h"":2,""ring"":0,""z"":6},{""ar"":0,""deg"":4,""fc"":0,""h"":2,""ring"":0,""z"":6}]"
33,0.45220000,3.55000000,0.07000000,12.01100000,"{""aromatic"":0,""bond_kinds"":[""S"",""S"",""S""],""degree"":3,""formal_charge"":0,""hop1_shell"":[{""ar"":0,""deg"":4,""fc"":0,""h"":2,""ring"":0,""z"":6},{""ar"":0,""deg"":1,""fc"":0,""h"":1,""ring"":0,""z"":8},{""ar"":0,""deg"":2,""fc"":0,""h"":0,""ring"":0,""z"":8}],""hop2_shell"":[{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":4,""fc"":0,""h"":2,""ring"":0,""z"":6},{""ar"":0,""deg"":4,""fc"":0,""h"":2,""ring"":0,""z"":6}],""hybridization"":""SP3"",""in_ring"":0,""neighbor_sig"":[""6:S:0"",""8:S:0"",""8:S:0""],""ring_count"":0,""total_hs"":1,""z"":6}",6,0,0,SP3,3,1,0,0,"[""6:S:0"",""8:S:0"",""8:S:0""]","[""S"",""S"",""S""]","[{""ar"":0,""deg"":4,""fc"":0,""h"":2,""ring"":0,""z"":6},{""ar"":0,""deg"":1,""fc"":0,""h"":1,""ring"":0,""z"":8},{""ar"":0,""deg"":2,""fc"":0,""h"":0,""ring"":0,""z"":8}]","[{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":4,""fc"":0,""h"":2,""ring"":0,""z"":6},{""ar"":0,""deg"":4,""fc"":0,""h"":2,""ring"":0,""z"":6}]"
34,0.51880000,3.55000000,0.07000000,12.01100000,"{""aromatic"":0,""bond_kinds"":[""S"",""S"",""S""],""degree"":3,""formal_charge"":0,""hop1_shell"":[{""ar"":0,""deg"":4,""fc"":0,""h"":2,""ring"":0,""z"":6},{""ar"":0,""deg"":1,""fc"":0,""h"":1,""ring"":0,""z"":8},{""ar"":0,""deg"":2,""fc"":0,""h"":1,""ring"":0,""z"":8}],""hop2_shell"":[{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":4,""fc"":0,""h"":2,""ring"":0,""z"":6}],""hybridization"":""SP3"",""in_ring"":0,""neighbor_sig"":[""6:S:0"",""8:S:0"",""8:S:0""],""ring_count"":0,""total_hs"":1,""z"":6}",6,0,0,SP3,3,1,0,0,"[""6:S:0"",""8:S:0"",""8:S:0""]","[""S"",""S"",""S""]","[{""ar"":0,""deg"":4,""fc"":0,""h"":2,""ring"":0,""z"":6},{""ar"":0,""deg"":1,""fc"":0,""h"":1,""ring"":0,""z"":8},{""ar"":0,""deg"":2,""fc"":0,""h"":1,""ring"":0,""z"":8}]","[{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":4,""fc"":0,""h"":2,""ring"":0,""z"":6}]"
35,-0.12900000,3.50000000,0.06600000,12.01100000,"{""aromatic"":0,""bond_kinds"":[""S"",""S"",""S"",""S""],""degree"":4,""formal_charge"":0,""hop1_shell"":[{""ar"":0,""deg"":3,""fc"":0,""h"":0,""ring"":0,""z"":6},{""ar"":0,""deg"":4,""fc"":0,""h"":2,""ring"":0,""z"":6},{""ar"":0,""deg"":4,""fc"":0,""h"":3,""ring"":0,""z"":6},{""ar"":0,""deg"":4,""fc"":0,""h"":3,""ring"":0,""z"":6}],""hop2_shell"":[{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":4,""fc"":0,""h"":1,""ring"":0,""z"":6},{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":8},{""ar"":0,""deg"":2,""fc"":0,""h"":0,""ring"":0,""z"":8}],""hybridization"":""SP3"",""in_ring"":0,""neighbor_sig"":[""6:S:0"",""6:S:0"",""6:S:0"",""6:S:0""],""ring_count"":0,""total_hs"":0,""z"":6}",6,0,0,SP3,4,0,0,0,"[""6:S:0"",""6:S:0"",""6:S:0"",""6:S:0""]","[""S"",""S"",""S"",""S""]","[{""ar"":0,""deg"":3,""fc"":0,""h"":0,""ring"":0,""z"":6},{""ar"":0,""deg"":4,""fc"":0,""h"":2,""ring"":0,""z"":6},{""ar"":0,""deg"":4,""fc"":0,""h"":3,""ring"":0,""z"":6},{""ar"":0,""deg"":4,""fc"":0,""h"":3,""ring"":0,""z"":6}]","[{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":4,""fc"":0,""h"":1,""ring"":0,""z"":6},{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":8},{""ar"":0,""deg"":2,""fc"":0,""h"":0,""ring"":0,""z"":8}]"
36,-0.06350000,3.50000000,0.06600000,12.01100000,"{""aromatic"":0,""bond_kinds"":[""S"",""S"",""S"",""S""],""degree"":4,""formal_charge"":0,""hop1_shell"":[{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":4,""fc"":0,""h"":2,""ring"":0,""z"":6},{""ar"":0,""deg"":4,""fc"":0,""h"":2,""ring"":0,""z"":6},{""ar"":1,""deg"":3,""fc"":0,""h"":0,""ring"":1,""z"":6}],""hop2_shell"":[{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":4,""fc"":0,""h"":0,""ring"":0,""z"":6},{""ar"":0,""deg"":4,""fc"":0,""h"":1,""ring"":0,""z"":6},{""ar"":1,""deg"":3,""fc"":0,""h"":1,""ring"":1,""z"":6},{""ar"":1,""deg"":3,""fc"":0,""h"":1,""ring"":1,""z"":6}],""hybridization"":""SP3"",""in_ring"":0,""neighbor_sig"":[""1:S:0"",""6:S:0"",""6:S:0"",""6:S:1""],""ring_count"":0,""total_hs"":1,""z"":6}",6,0,0,SP3,4,1,0,0,"[""1:S:0"",""6:S:0"",""6:S:0"",""6:S:1""]","[""S"",""S"",""S"",""S""]","[{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":4,""fc"":0,""h"":2,""ring"":0,""z"":6},{""ar"":0,""deg"":4,""fc"":0,""h"":2,""ring"":0,""z"":6},{""ar"":1,""deg"":3,""fc"":0,""h"":0,""ring"":1,""z"":6}]","[{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":4,""fc"":0,""h"":0,""ring"":0,""z"":6},{""ar"":0,""deg"":4,""fc"":0,""h"":1,""ring"":0,""z"":6},{""ar"":1,""deg"":3,""fc"":0,""h"":1,""ring"":1,""z"":6},{""ar"":1,""deg"":3,""fc"":0,""h"":1,""ring"":1,""z"":6}]"
37,-0.06150000,3.50000000,0.06600000,12.01100000,"{""aromatic"":0,""bond_kinds"":[""S"",""S"",""S"",""S""],""degree"":4,""formal_charge"":0,""hop1_shell"":[{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":4,""fc"":0,""h"":2,""ring"":0,""z"":6},{""ar"":0,""deg"":4,""fc"":0,""h"":2,""ring"":0,""z"":6},{""ar"":1,""deg"":3,""fc"":0,""h"":0,""ring"":1,""z"":6}],""hop2_shell"":[{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":4,""fc"":0,""h"":1,""ring"":0,""z"":6},{""ar"":0,""deg"":4,""fc"":0,""h"":2,""ring"":0,""z"":6},{""ar"":1,""deg"":3,""fc"":0,""h"":1,""ring"":1,""z"":6},{""ar"":1,""deg"":3,""fc"":0,""h"":1,""ring"":1,""z"":6}],""hybridization"":""SP3"",""in_ring"":0,""neighbor_sig"":[""1:S:0"",""6:S:0"",""6:S:0"",""6:S:1""],""ring_count"":0,""total_hs"":1,""z"":6}",6,0,0,SP3,4,1,0,0,"[""1:S:0"",""6:S:0"",""6:S:0"",""6:S:1""]","[""S"",""S"",""S"",""S""]","[{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":4,""fc"":0,""h"":2,""ring"":0,""z"":6},{""ar"":0,""deg"":4,""fc"":0,""h"":2,""ring"":0,""z"":6},{""ar"":1,""deg"":3,""fc"":0,""h"":0,""ring"":1,""z"":6}]","[{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":1,""fc"":0,""h"":0,""ring"":0,""z"":1},{""ar"":0,""deg"":4,""fc"":0,""h"":1,""ring"":0,""z"":6},{""ar"":0,""deg"":4,""fc"":0,""h"":2,""ring"":0,""z"":6},{""ar"":1,""deg"":3,""fc"":0,""h"":1,""ring"":1,""z"":6},{""ar"":1,""deg"":3,""fc"":0,""h"":1,""ring"":1,""z"":6}]"
